Gene Description
blaTEM-29_1_DQ269440 Beta-lactam
blaTEM-2_3_AJ251946 Beta-lactam
blaTEM-30_1_AJ437107 Beta-lactam
blaTEM-33_1_GU371926 Beta-lactam
blaTEM-34_1_KC292503 Beta-lactam
blaTEM-48_1_Y10280 Beta-lactam
blaTEM-54_1_AF104442 Beta-lactam
blaTEM-55_1_DQ286729 Beta-lactam
blaTEM-57_1_FJ405211 Beta-lactam
blaTEM-68_1_AJ239002 Beta-lactam
blaTEM-6_1_X57972 Beta-lactam
blaTEM-70_1_AF188199 Beta-lactam
blaTEM-77_1_AF190695 Beta-lactam
blaTEM-79_1_AF190692 Beta-lactam
blaTEM-81_1_AF427127 Beta-lactam
blaTEM-82_1_AF427128 Beta-lactam
blaTEM-84_1_AF427130 Beta-lactam
blaTEM-86_1_AJ277415 Beta-lactam
blaTEM-87_1_AF250872 Beta-lactam
blaTEM-90_1_AF351241 Beta-lactam
blaTEM-91_1_AB049569 Beta-lactam
blaTEM-93_1_AJ318093 Beta-lactam
blaTEM-95_1_AJ308558 Beta-lactam
blaTEM-96_1_AY092401 Beta-lactam
blaTEM-97_1_AF397067 Beta-lactam
blaTEM-98_1_AF397068 Beta-lactam
blaTEM-99_1_AF397066 Beta-lactam
blaTLA-1_1_AF148067 Beta-lactam
blaVEB-1_1_HM370393 Beta-lactam
blaVEB-1_3_DQ393569 Beta-lactam
blaVEB-1_4_AF324834 Beta-lactam
blaVEB-2_1_AY027870 Beta-lactam
blaVEB-3_1_AY536519 Beta-lactam
blaVEB-4_1_EF136375 Beta-lactam
blaVEB-5_1_EF420108 Beta-lactam
blaVEB-6_1_EU259884 Beta-lactam
blaVEB-7_1_FJ825622 Beta-lactam
blaVEB-8_1_JX679208 Beta-lactam
blaVIM-11_1_AY605049 Beta-lactam
blaVIM-17_1_EU118148 Beta-lactam
cat(pC194)_1_NC_002013 Phenicol
catA1_1_V00622 Phenicol
catA2_1_X53796 Phenicol
catB2_1_AF047479 Phenicol
catB3_1_AJ009818 Phenicol
catB4_1_EU935739 Phenicol
catB7_1_AF036933 Phenicol
catB8_1_AF227506 Phenicol
catB9_1_AF462019 Phenicol
catP_1_U15027 Phenicol
catQ_1_M55620 Phenicol
catS_1_X74948 Phenicol
cat_2_M35190 Phenicol
cat_3_S48276 Phenicol
cat_5_U35036 Phenicol
cepA-29_1_U05884 Beta-lactam
cepA-44_1_U05885 Beta-lactam
cepA-49_1_U05886 Beta-lactam
cepA_1_L13472 Beta-lactam
cepA_1_U05887 Beta-lactam
cepA_6_FR688022 Beta-lactam
cfiA3_1_AB087228 Beta-lactam
cfiA4_1_AB087229 Beta-lactam
cfxA2_1_AF504914 Beta-lactam
cfxA3_1_AF472622 Beta-lactam
cfxA4_1_AY769933 Beta-lactam
cfxA5_1_AY769934 Beta-lactam
cfxA6_1_GQ342996 Beta-lactam
cfxA_1_U38243 Beta-lactam
cmlA1_1_M64556 Phenicol
cmlA1_2_AB212941 Phenicol
cml_1_M22614 Phenicol
cmx_1_U85507 Phenicol
cphA1_1_AY261379 Beta-lactam
cphA1_2_AY261377 Beta-lactam
cphA1_3_AY261378 Beta-lactam
cphA1_4_AY261376 Beta-lactam
cphA1_7_X57102 Beta-lactam
cphA2_6_AHU60294 Beta-lactam
cphA4_1_AY227050 Beta-lactam
cphA5_1_AY227051 Beta-lactam
cphA6_1_AY227052 Beta-lactam
cphA7_1_AY227053 Beta-lactam
cphA8_1_AY261375 Beta-lactam
dfrA10_1_L06418 Trimethoprim
dfrA12_1_AB571791 Trimethoprim
dfrA14_1_DQ388123 Trimethoprim
dfrA14_1_Z50805 Trimethoprim
dfrA15_1_HM449019 Trimethoprim
dfrA15b_1_AJ867237 Trimethoprim
dfrA16_1_AF077008 Trimethoprim
dfrA16_1_DQ316603 Trimethoprim
dfrA16_1_FN561628 Trimethoprim
dfrA17_1_FJ460238 Trimethoprim
dfrA1_1_X00926 Trimethoprim
dfrA1_25_AJ844287 Trimethoprim
dfrA1_2_AJ419168 Trimethoprim
dfrA1_30_JQ690541 Trimethoprim
dfrA1_5_AJ238350 Trimethoprim
dfrA21_1_AM932669 Trimethoprim
dfrA23_1_AJ746361 Trimethoprim
dfrA32_1_GU067642 Trimethoprim
dfrA3_1_J03306 Trimethoprim
dfrA5_1_X12868 Trimethoprim
dfrA7_1_AJ419170 Trimethoprim
dfrA7_1_JF806498 Trimethoprim
dfrB1_2_U36276 Trimethoprim
dfrG_1_AB205645 Trimethoprim
ere(A)_1_AY183453 Macrolide
ere(A)_2_AF099140 Macrolide
ere(A)_3_AF326209 Macrolide
ere(A)_4_AF512546 Macrolide
ere(B)_2_X03988 Macrolide
erm(33)_2_AJ313523 Macrolide
erm(35)_1_AF319779 Macrolide
erm(42)_1_FR734406 Macrolide
erm(42)_2_AB601890 Macrolide
erm(A)_2_AF002716 Macrolide
erm(B)_10_U86375 Macrolide
erm(B)_11_M19270 Macrolide
erm(B)_12_U18931 Macrolide
erm(B)_15_U48430 Macrolide
erm(B)_18_X66468 Macrolide
erm(B)_1_JN899585 Macrolide
erm(B)_20_AF109075 Macrolide
erm(B)_21_U35228 Macrolide
erm(B)_2_K00551 Macrolide
erm(B)_6_AF242872 Macrolide
erm(B)_7_AF368302 Macrolide
erm(B)_9_AF299292 Macrolide
erm(F)_2_M17124 Macrolide
erm(F)_3_M17808 Macrolide
erm(F)_4_M62487 Macrolide
erm(G)_1_M15332 Macrolide
erm(G)_2_L42817 Macrolide
erm(Q)_1_L22689 Macrolide
erm(T)_3_AF310974 Macrolide
erm(T)_4_AJ488494 Macrolide
erm(X)_1_M36726 Macrolide
erm(X)_2_X51472 Macrolide
erm(X)_3_U21300 Macrolide
erm(X)_4_NC_005206 Macrolide
floR_1_AF071555 Phenicol
floR_2_AF118107 Phenicol
fosA2_1_EU487198 Fosfomycin
fosA3_1_AB522970 Fosfomycin
fosA5_1_EU195449 Fosfomycin
fosA_1_M85195 Fosfomycin
fosA_2_AGDM01000012 Fosfomycin
fosA_3_ACWO01000079 Fosfomycin
fosA_5_AFBO01000747 Fosfomycin
fosA_6_ACZD01000244 Fosfomycin
fosA_7_AEXB01000013 Fosfomycin
fosE_1_AB901041 Fosfomycin
imiH_1_AJ548797 Beta-lactam
imiS_1_Y10415 Beta-lactam
lnu(A)_1_M14039 Lincosamide
lnu(B)_1_AJ238249 Lincosamide
lnu(C)_1_AY928180 Lincosamide
lnu(D)_1_EF452177 Lincosamide
lnu(F)_1_EU118119 Lincosamide
lnu(F)_2_DQ836009 Lincosamide
lnu(F)_3_AJ561197 Lincosamide
lsa(A)_2_AY58982 Macrolide
lsa(C)_1_HM990671 Macrolide
mcr-3_1_KY924928 Colistin
mcr-4_1_MF543359 Colistin
mcr-5_1_KY807921 Colistin
mef(A)_10_AF376746 Macrolide
mef(A)_3_AF227521 Macrolide
mef(B)_1_FJ196385 Macrolide
mph(A)_1_D16251 Macrolide
mph(A)_2_U36578 Macrolide
mph(B)_1_D85892 Macrolide
mph(E)_3_EU294228 Macrolide
msr(D)_2_AF274302 Macrolide,
msr(D)_3_AF227520 Macrolide,
msr(E)_4_EU294228 Macrolide,
nimA_1_X71444 metronidazole
nimB_1_X71443 metronidazole
nimC_1_X76948 metronidazole
nimD_1_X76949 metronidazole
nimE_1_AJ244018 metronidazole
nimE_1_AM042593 metronidazole
nimF_1_AJ515145 metronidazole
nimH_1_KX576455 metronidazole
nimJ_1_NZ_JH815495 metronidazole
norA_1_M97169 Fluoroquinolone
oqxA_1_EU370913 Quinolone
oqxB_1_EU370913 Quinolone
penA_1_AF515059 Beta-lactam
qepA2_1_EU847537 Quinolone
qnrE_1_KY073238 Quinolone
rmtD2_1_HQ401565 Aminoglycoside
rmtD_1_DQ914960 Aminoglycoside
rmtG_1_KJ004567 Aminoglycoside
rmtf_1_JQ808129 No
spc_1_X02588 Aminoglycoside
sph_1_HQ424461 Aminoglycoside
strA_1_M96392 Aminoglycoside
strA_2_M28829 Aminoglycoside
strA_3_AF024602 Aminoglycoside
strA_4_AF321551 Aminoglycoside
strA_5_AF321550 Aminoglycoside
strB_1_M96392 Aminoglycoside
strB_3_AF024602 Aminoglycoside
str_1_X92946 Aminoglycoside
str_2_FN435330 Aminoglycoside
sul1_10_DQ143913 Sulphonamide
sul1_11_DQ914960 Sulphonamide
sul1_14_AJ517791 Sulphonamide
sul1_15_EF667294 Sulphonamide
sul1_17_AM746675 Sulphonamide
sul1_18_AY260546 Sulphonamide
sul1_19_DQ125241 Sulphonamide
sul1_1_AY224185 Sulphonamide
sul1_20_JF262165 Sulphonamide
sul1_21_AJ971344 Sulphonamide
sul1_22_AY115475 Sulphonamide
sul1_23_AJ621187 Sulphonamide
sul1_24_EU117158 Sulphonamide
sul1_25_AY878717 Sulphonamide
sul1_26_AY524415 Sulphonamide
sul1_27_GU562437 Sulphonamide
sul1_28_JN790946 Sulphonamide
sul1_29_AJ746361 Sulphonamide
sul1_2_CP002151 Sulphonamide
sul1_30_JF262178 Sulphonamide
sul1_31_AM040449 Sulphonamide
sul1_32_EF592571 Sulphonamide
sul1_33_AJ564903 Sulphonamide
sul1_34_AY047357 Sulphonamide
sul1_35_AB281183 Sulphonamide
sul1_3_EU855787 Sulphonamide
sul1_5_EU780013 Sulphonamide
sul1_7_FJ715937 Sulphonamide
sul1_8_JN581942 Sulphonamide
sul1_9_AY963803 Sulphonamide
sul2_10_AM183225 Sulphonamide
sul2_11_AY232670 Sulphonamide
sul2_12_AF497970 Sulphonamide
sul2_13_AJ289135 Sulphonamide
sul2_14_AJ514834 Sulphonamide
sul2_15_FJ968160 Sulphonamide
sul2_17_U57647 Sulphonamide
sul2_18_AJ830714 Sulphonamide
sul2_19_AJ319822 Sulphonamide
sul2_1_AF542061 Sulphonamide
sul2_20_AJ830710 Sulphonamide
sul2_2_GQ421466 Sulphonamide
sul2_3_HQ840942 Sulphonamide
sul2_5_AY524415 Sulphonamide
sul2_6_FN995456 Sulphonamide
sul2_7_HM486907 Sulphonamide
sul2_8_AJ877041 Sulphonamide
sul2_9_FJ197818 Sulphonamide
sul3_2_AJ459418 Sulphonamide
tet(31)_1_GQ283908 Tetracycline
tet(31)_2_AJ250203 Tetracycline
tet(32)_1_EU722333 Tetracycline
tet(32)_2_EF626943 Tetracycline
tet(33)_2_AY255627 Tetracycline
tet(33)_3_DQ390458 Tetracycline
tet(36)_1_AJ514254 Tetracycline
tet(39)_1_KT346360 Tetracycline
tet(40)_1_FJ158002 Tetracycline
tet(40)_2_FJ158002 Tetracycline
tet(40)_3_AM419751 Tetracycline
tet(41)_1_AY264780 Tetracycline
tet(42)_1_EU523697 Tetracycline
tet(44)_1_NZ_ABDU01000081 Tetracycline
tet(44)_2_FN594949 Tetracycline
tet(A)_2_X00006 Tetracycline
tet(A)_3_AY196695 Tetracycline
tet(A)_4_AJ517790 Tetracycline
tet(A)_5_AJ419171 Tetracycline
tet(A)_6_AJ313332 Tetracycline
tet(B)_3_AP000342 Tetracycline
tet(B)_4_AF326777 Tetracycline
tet(B)_5_AJ277653 Tetracycline
tet(C)_2_NC_003123 Tetracycline
tet(C)_5_NC_003213 Tetracycline
tet(C)_9_AY046276 Tetracycline
tet(D)_1_AF467077 Tetracycline
tet(E)_2_EF471995 Tetracycline
tet(E)_3_L06940 Tetracycline
tet(E)_5_CP000645 Tetracycline
tet(G)_2_AF133139 Tetracycline
tet(G)_3_S52437 Tetracycline
tet(G)_4_AF133140 Tetracycline
tet(G)_5_AF071555 Tetracycline
tet(H)_2_AJ245947 Tetracycline
tet(H)_4_U00792 Tetracycline
tet(K)_4_U38428 Tetracycline
tet(L)_1_HM235948 Tetracycline
tet(L)_2_M29725 Tetracycline
tet(L)_4_M11036 Tetracycline
tet(L)_5_D00006 Tetracycline
tet(L)_8_X60828 Tetracycline
tet(L)_9_AY081910 Tetracycline
tet(M)_10_EU182585 Tetracycline
tet(M)_11_JN846696 Tetracycline
tet(M)_12_FR671418 Tetracycline
tet(M)_13_AM990992 Tetracycline
tet(M)_1_X92947 Tetracycline
tet(M)_2_X90939 Tetracycline
tet(M)_3_U08812 Tetracycline
tet(M)_4_X75073 Tetracycline
tet(M)_5_U58985 Tetracycline
tet(M)_6_M21136 Tetracycline
tet(M)_7_FN433596 Tetracycline
tet(M)_8_X04388 Tetracycline
tet(M)_9_X56353 Tetracycline
tet(O)_1_M18896 Tetracycline
tet(O)_2_M20925 Tetracycline
tet(O)_3_Y07780 Tetracycline
tet(Q)_1_L33696 Tetracycline
tet(Q)_2_X58717 Tetracycline
tet(Q)_3_U73497 Tetracycline
tet(Q)_4_Z21523 Tetracycline
tet(S)_1_DQ377340 Tetracycline
tet(S)_2_L09756 Tetracycline
tet(S)_3_X92946 Tetracycline
tet(T)_1_L42544 Tetracycline
tet(T)_2_AY660530 Tetracycline
tet(W)_1_DQ060146 Tetracycline
tet(W)_2_AY049983 Tetracycline
tet(W)_4_AJ427422 Tetracycline
tet(W)_5_AJ427421 Tetracycline
tet(W)_6_FN396364 Tetracycline
tet(X)_1_GU014535 Tetracycline
tet(X)_2_M37699 Tetracycline
tet(X)_3_AB097942 Tetracycline
tet(Y)_1_EF495198 Tetracycline
tet(Y)_5_AB089606 Tetracycline
tet(Z)_2_AF121000 Tetracycline
tetA(P)_1_AB054980 Tetracycline
tetA(P)_2_HQ399624 Tetracycline
tetA(P)_3_L20800 Tetracycline
tetA(P)_4_AB001076 Tetracycline
tetB(P)_3_NC_010937 Tetracycline
vat(E)_5_AJ488494 Streptogramin
vat(F)_1_AF170730 Streptogramin
vga(C)_2_NC_013034 Streptogramin
